well,Formula_ID,Replicate,HEMA (%),PEGDA (%),HEMA/PEGDA,Polymer content,Polymer/LAP,LAP (%),Water (%),E_Pa,std_dev_Pa,Relative Error % 
A1,Formula_17,Rep_3,43.12,22.66,1.9,65.78,304.54,0.216,34.004,3823.504,47115,1.23
A2,Formula_14,Rep_3,47.25,23.17,2.04,70.42,880.25,0.08,29.5,4434.781,35396,0.8
A3,Formula_10,Rep_3,47.11,19.28,2.44,66.39,163.52,0.406,33.2,3381.834,41849,1.24
A4,Formula_31,Rep_3,46.69,18.43,2.53,65.12,192.09,0.339,34.54,3852.176,76367,1.98
A5,Formula_2,Rep_2,43.49,18.73,2.32,62.22,172.83,0.36,37.42,3671.157,19656,0.54
A6,Formula_16,Rep_3,47.95,21.86,2.19,69.81,213.49,0.327,29.86,4386.428,26374,0.6
A7,Formula_6,Rep_3,42.54,19.4,2.19,61.94,520.5,0.119,37.94,3090.716,86633,2.8
A8,Formula_11,Rep_2,40.47,18.94,2.14,59.41,319.41,0.186,40.404,5046.01,81425,1.61
A9,Formula_1,Rep_1,51.71,23.92,2.16,75.63,804.57,0.094,24.276,5126.032,39330,0.77
A10,Formula_22,Rep_2,50.21,22.76,2.21,72.97,207.3,0.352,26.678,6063.933,41849,0.69
A11,Formula_28,Rep_3,44.72,19.91,2.25,64.63,146.55,0.441,34.929,4325.413,92071,2.13
A12,Formula_31,Rep_1,46.69,18.43,2.53,65.12,192.09,0.339,34.541,4016.092,43722,1.09
B1,Formula_19,Rep_1,44.99,18.23,2.47,63.22,248.9,0.254,36.526,3591.622,48429,1.35
B2,Formula_5,Rep_1,44.26,20.66,2.14,64.92,327.88,0.198,34.882,4474.179,47341,1.06
B3,Formula_32,Rep_1,46.23,19.82,2.33,66.05,168.07,0.393,33.557,4679.706,32959,0.7
B4,Formula_27,Rep_1,40.92,20.85,1.96,61.77,1123.09,0.055,38.175,2544.818,42466,1.67
B5,Formula_13,Rep_1,45.58,23.72,1.92,69.3,162.68,0.426,30.274,3140.88,13182,0.42
B6,Formula_23,Rep_1,42.04,21.13,1.99,63.17,134.12,0.471,36.359,3717.844,19786,0.53
B7,Formula_11,Rep_1,40.47,18.94,2.14,59.41,319.41,0.186,40.404,4891.142,81873,1.67
B8,Formula_22,Rep_3,50.21,22.76,2.21,72.97,207.3,0.352,26.678,7280.88,104794,1.44
B9,Formula_9,Rep_2,50.96,22.46,2.27,73.42,324.87,0.226,26.354,7630.655,64679,0.85
B10,Formula_4,Rep_3,47.71,22.06,2.16,69.77,240.59,0.29,29.94,7695.954,36158,0.47
B11,Formula_16,Rep_1,47.95,21.86,2.19,69.81,213.49,0.327,29.863,5935.833,87098,1.47
B12,Formula_5,Rep_3,44.26,20.66,2.14,64.92,327.88,0.198,34.882,3670.691,10494,0.29
