Fromula_ID,HEMA (%),PEGDA (%),Polymer content,LAP (%),Water (%),HEMA /PEGDA ,Polymer content/Water,Polymer content/LAP,Left Angle (deg),Right Angle (deg),Average Angle (deg),Fit RMSE (px),Left Angle Fiji (deg),Right Angle Fiji (deg),Average Angle Fiji (deg),Mean Angle Fiji (deg)
Formula_19,44.99,18.23,63.22,0.254,36.526,2.47,1.73,248.9,31.85,34.83,33.34,0.624,36.45,34.66,35.56,35.31
Formula_19,44.99,18.23,63.22,0.254,36.526,2.47,1.73,248.9,31.35,32.22,31.79,0.542,36.34,35.09,35.71,
Formula_19,44.99,18.23,63.22,0.254,36.526,2.47,1.73,248.9,31.97,33.3,32.63,0.621,34.44,34.88,34.66,
Formula_5,44.26,20.66,64.92,0.198,34.882,2.14,1.86,327.88,37.93,40.13,39.03,0.549,,,,
Formula_5,44.26,20.66,64.92,0.198,34.882,2.14,1.86,327.88,37.52,39.1,38.31,3.636,,,,
Formula_5,44.26,20.66,64.92,0.198,34.882,2.14,1.86,327.88,33.45,37.51,35.48,2.279,,,,
Formula_27,40.92,20.85,61.77,0.055,38.175,1.96,1.62,1123.09,29.32,31.32,30.32,0.565,25.8,30.84,28.32,27.61
Formula_27,40.92,20.85,61.77,0.055,38.175,1.96,1.62,1123.09,26.67,24.68,25.68,0.783,26.6,27.2,26.9,
Formula_27,40.92,20.85,61.77,0.055,38.175,1.96,1.62,1123.09,26.36,29.63,27.99,0.72,28.3,26.9,27.6,
Formula_12,45.86,21.29,67.15,0.132,32.718,2.15,2.05,508.71,38.06,36.47,37.26,0.61,,,,
Formula_12,45.86,21.29,67.15,0.132,32.718,2.15,2.05,508.71,35.67,35.79,35.73,0.513,,,,
Formula_12,45.86,21.29,67.15,0.132,32.718,2.15,2.05,508.71,42.07,41.03,41.55,2.736,,,,
Formula_29,40.37,20.23,60.6,0.265,39.135,2,1.55,228.68,29.5,29.5,29.5,0.49,30.94,30.39,30.66,28.74
Formula_29,40.37,20.23,60.6,0.265,39.135,2,1.55,228.68,28.76,27.85,28.31,0.73,30.74,28.75,29.74,
Formula_29,40.37,20.23,60.6,0.265,39.135,2,1.55,228.68,26.05,26.88,26.46,1.125,26,25.6,25.81,
Formula_6,42.54,19.4,61.94,0.119,37.941,2.19,1.63,520.5,28.89,30.56,29.73,0.642,,,,
Formula_6,42.54,19.4,61.94,0.119,37.941,2.19,1.63,520.5,26.09,29.24,27.66,0.588,,,,
Formula_6,42.54,19.4,61.94,0.119,37.941,2.19,1.63,520.5,28.27,31.61,29.94,0.452,,,,
Formula_17,43.12,22.66,65.78,0.216,34.004,1.9,1.93,304.54,28.96,31.24,30.1,1.467,,,,
Formula_17,43.12,22.66,65.78,0.216,34.004,1.9,1.93,304.54,38.73,33.08,35.91,1.974,,,,
Formula_17,43.12,22.66,65.78,0.216,34.004,1.9,1.93,304.54,30.07,35.67,32.87,0.452,,,,
Formula_8,43.99,18.01,62,0.136,37.864,2.44,1.64,455.88,30.78,35.31,33.05,1.771,33.95,32.19,33.11,31.89
Formula_8,43.99,18.01,62,0.136,37.864,2.44,1.64,455.88,28.97,32.32,30.65,0.716,29.72,32.95,31.33,
Formula_8,43.99,18.01,62,0.136,37.864,2.44,1.64,455.88,29.35,30.65,30,0.609,31.39,31.1,31.23,
Formula_26,51.52,20.57,72.09,0.069,27.841,2.5,2.59,1044.78,27.17,20.8,23.98,1.11,,,,
Formula_26,51.52,20.57,72.09,0.069,27.841,2.5,2.59,1044.78,27.53,25.3,26.41,1.752,,,,
Formula_26,51.52,20.57,72.09,0.069,27.841,2.5,2.59,1044.78,31.42,29.52,30.47,0.82,,,,
Formula_14,47.25,23.17,70.42,0.08,29.5,2.04,2.39,880.25,29.62,32.77,31.2,2.195,,,,
Formula_14,47.25,23.17,70.42,0.08,29.5,2.04,2.39,880.25,26.6,34.5,30.5,0.98,,,,
Formula_14,47.25,23.17,70.42,0.08,29.5,2.04,2.39,880.25,30.82,32.09,31.45,2.35,,,,
Formula_25,41.18,23.39,64.57,0.162,35.268,1.76,1.83,398.58,36.19,33.71,34.95,0.745,,,,
